SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
107,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-06-2024 06:00,3.5
108,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-06-2024 07:00,2
109,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-06-2024 07:00,2
110,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-06-2024 11:00,0.5
111,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-06-2024 11:00,0.5
112,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-06-2024 01:00,2.5
113,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-06-2024 01:00,2.5
114,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-06-2024 02:00,3
115,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-06-2024 20:00,28
116,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-06-2024 20:00,28
117,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-06-2024 21:00,9.5
118,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-06-2024 21:00,9.5
119,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-06-2024 22:00,0.5
120,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-06-2024 22:00,0.5
121,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,10-06-2024 14:00,3
122,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,11-06-2024 13:00,1
123,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,11-06-2024 13:00,1
124,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,11-06-2024 14:00,16.5
125,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,11-06-2024 14:00,16.5
126,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,11-06-2024 15:00,4.5
127,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,11-06-2024 15:00,4.5
128,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,12-06-2024 23:00,0.5
129,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,12-06-2024 23:00,0.5
130,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,13-06-2024 02:00,0.5
131,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,27-06-2024 08:00,0.5
132,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,27-06-2024 11:00,0.5
133,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,28-06-2024 03:00,0.5
134,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,28-06-2024 04:00,0.5
135,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,28-06-2024 13:00,0.5
