SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,rainfall_mm,date,hour
113,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-04 17:00:00,0.5,2025-10-04,17
114,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-05 14:00:00,0.5,2025-10-05,14
115,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-06 11:00:00,0.5,2025-10-06,11
116,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-07 10:00:00,0.5,2025-10-07,10
117,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-08 09:00:00,0.5,2025-10-08,9
118,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-21 09:00:00,0.5,2025-10-21,9
119,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-22 03:00:00,0.5,2025-10-22,3
120,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-22 23:00:00,0.5,2025-10-22,23
121,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-26 08:00:00,0.5,2025-10-26,8
122,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-27 05:00:00,0.5,2025-10-27,5
123,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-29 01:00:00,0.5,2025-10-29,1
124,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-29 22:00:00,0.5,2025-10-29,22
125,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-30 18:00:00,0.5,2025-10-30,18
126,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-10-31 15:00:00,0.5,2025-10-31,15
127,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-11-01 13:00:00,0.5,2025-11-01,13
128,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-11-02 12:00:00,0.5,2025-11-02,12
129,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-11-09 18:00:00,0.5,2025-11-09,18
130,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-11-13 21:00:00,0.5,2025-11-13,21
131,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-11-15 12:00:00,0.5,2025-11-15,12
132,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-11-18 16:00:00,0.5,2025-11-18,16
133,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-11-23 13:00:00,0.5,2025-11-23,13
134,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-11-25 11:00:00,0.5,2025-11-25,11
