SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
118,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,21-10-2025 09:00,0.5
119,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,22-10-2025 03:00,0.5
120,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,22-10-2025 23:00,0.5
121,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,26-10-2025 08:00,0.5
122,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,27-10-2025 05:00,0.5
123,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,29-10-2025 01:00,0.5
124,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,29-10-2025 22:00,0.5
125,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,30-10-2025 18:00,0.5
126,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,31-10-2025 15:00,0.5
127,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-11-2025 13:00,0.5
128,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,02-11-2025 12:00,0.5
129,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,09-11-2025 18:00,0.5
130,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,13-11-2025 21:00,0.5
131,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,15-11-2025 12:00,0.5
132,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,18-11-2025 16:00,0.5
133,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,23-11-2025 13:00,0.5
134,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,25-11-2025 11:00,0.5
135,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,27-11-2025 04:00,0.5
136,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,05-12-2025 00:00,0.5
137,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,06-12-2025 17:00,0.5
138,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,22-12-2025 10:00,339.5
139,Arnior_1,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,-,-,-,-,-,-,-,-,-,13.42000000,79.75000000,14-07-2025 15:45,4
140,Arnior_1,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,-,-,-,-,-,-,-,-,-,13.42000000,79.75000000,14-07-2025 16:00,4
141,Arnior_1,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,-,-,-,-,-,-,-,-,-,13.42000000,79.75000000,14-07-2025 20:00,0.5
142,Arnior_1,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,-,-,-,-,-,-,-,-,-,13.42000000,79.75000000,14-07-2025 21:00,2.5
143,Arnior_1,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,-,-,-,-,-,-,-,-,-,13.42000000,79.75000000,16-07-2025 23:00,0.5
144,Arnior_1,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,-,-,-,-,-,-,-,-,-,13.42000000,79.75000000,21-07-2025 05:00,0.5
145,Arnior_1,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,-,-,-,-,-,-,-,-,-,13.42000000,79.75000000,23-07-2025 07:00,0.5
